Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA
Date,,,,,,,,,,,,,,,
14-03-23,150.6976471,93.32633209,183.2599945,151.4975994,93.71366009,183.8000031,148.2385365,91.80681339,177.1399994,149.4038955,91.92598657,177.3099976,73695900,36050200,143717900
15-03-23,151.0927124,95.45165253,180.4499969,151.3494826,96.26603527,182.3399963,148.0607775,92.00542062,176.0299988,149.3150319,92.58144947,180.8000031,77167900,50622100,145995600
16-03-23,153.9172211,99.63282013,184.1300049,154.5196567,100.4968635,185.8099976,149.7594251,94.84583684,178.8399963,150.2729805,95.54103889,180.3699951,76161100,65492000,121136800
17-03-23,153.0777893,100.9239197,180.1300049,154.7962164,102.1355565,186.2200012,152.3667171,99.41432723,177.3300018,154.1443976,99.57323488,184.5200043,98944600,61028500,133197100
20-03-23,155.4479828,100.5266647,183.25,155.8627874,101.0530331,186.4400024,152.238288,99.18591348,176.3500061,153.1468918,99.43420103,178.0800018,73641400,32960400,129684400
21-03-23,157.304718,104.2013092,197.5800018,157.423225,104.3800765,198,154.5986922,100.5266568,188.0399933,155.369033,100.5564501,188.2799988,73938300,42110300,153391400
22-03-23,155.8726807,102.6619339,191.1499939,160.129228,105.859871,200.6600037,155.8529245,102.622207,190.9499969,157.3244517,103.555763,199.3000031,75701800,43427400,150376400
23-03-23,156.9590454,104.8766556,192.2200012,159.5465641,105.5718652,199.3099976,155.7245471,103.744465,188.6499939,156.8602946,104.3403536,195.2599945,67622100,40797800,144193900
24-03-23,158.2626953,104.7177505,190.4100037,158.3515756,104.7674035,192.3600006,155.8924644,103.1287043,187.1499939,156.8899337,104.2708285,191.6499939,59196500,30393300,116312400
27-03-23,156.3170776,101.7581635,191.8099976,158.7762031,104.0424118,197.3899994,155.9121587,101.2317951,189.9400024,157.9564946,103.9033714,194.4199982,52390300,31120900,120851600
28-03-23,155.6949005,100.3379593,189.1900024,156.5244947,101.7482307,192.3500061,154.0456128,99.05679468,185.4299927,156.0109393,101.7383046,192,45992200,32057900,98654600
29-03-23,158.7762299,100.6954956,193.8800049,159.0527563,101.7879593,195.2899933,157.3738417,99.9605666,189.4400024,157.3935828,101.5793987,193.1300049,51305700,28779600,123660000
30-03-23,160.3465118,100.1989136,195.2799988,160.4551483,100.4670683,197.3300018,159.270033,99.09651635,194.4199982,159.5268032,100.2187808,195.5800018,49501700,33086200,110252200
31-03-23,162.8549957,103.0194702,207.4600067,162.9537616,103.1783703,207.7899933,159.9020857,100.3478938,197.1999969,160.4255117,100.606115,197.5299988,68749800,36863400,170222100
03-04-23,164.1092377,103.6451569,194.7700043,164.2277447,103.8139906,202.6900024,162.1834236,101.2318015,192.1999969,162.2328066,101.6886497,199.9100037,56976200,25035400,169545900
04-04-23,163.575943,104.0026855,192.5800018,164.7709287,104.8567953,198.7400055,163.0623876,103.3273431,190.3200073,164.5339147,103.6153576,197.3200073,46278300,24420100,126463800
05-04-23,161.729126,103.7543945,185.5200043,163.0031365,105.3732265,190.6799927,159.7934413,102.9499454,183.7599945,162.6969834,105.0554188,190.5200043,51511700,28290500,133882500
06-04-23,162.6179657,107.6773376,185.0599976,162.9142482,108.4222003,186.3899994,159.9909502,103.6153572,179.7400055,160.4156103,104.5389871,183.0800018,45390100,48711500,123857900
10-04-23,160.0205994,105.7108994,184.5099945,160.0205994,106.8530159,185.1000061,158.0947851,104.3999415,176.1100006,159.4181636,106.2472013,179.9400024,47716900,27067400,142154600
11-04-23,158.8058472,104.6283722,186.7899933,160.3464985,105.9989243,189.1900024,158.5194352,103.9629634,185.6499939,160.3366279,105.820157,186.6900024,47644200,26311800,115770900
12-04-23,158.1145477,103.923233,180.5399933,160.0502326,106.0187805,191.5800018,157.7985089,103.625285,180.3099976,159.2206534,105.8499468,190.7400055,50133100,24370300,150256300
13-04-23,163.5068054,106.6941299,185.8999939,163.7438345,106.7537165,186.5,159.4181482,105.1150171,180.9400024,159.6255505,105.1150171,182.9600067,68445600,24843600,112933000
14-04-23,163.1611633,108.1242599,185,164.2573983,108.1937802,186.2799988,161.7884019,106.1081588,182.0099945,162.548842,106.1578193,183.9499969,49386500,26578000,96438700
17-04-23,163.1808929,105.2441177,187.0399933,163.3389123,105.4328187,189.6900024,161.9957778,103.8040455,182.6900024,163.0426298,103.9430935,186.3200073,41516200,37571200,116662200
18-04-23,164.4055328,103.7841873,184.3099976,165.3338779,105.8102145,187.6900024,163.5956948,103.3571325,183.5800018,164.0401262,105.7605539,187.1499939,49923000,26596400,92067000
19-04-23,165.5511322,103.4663849,180.5899963,166.0745582,104.2609081,183.5,163.48704,102.3639876,177.6499939,163.7438252,102.8704963,179.1000061,47720200,20905700,125732700
20-04-23,164.5832977,104.568779,162.9900055,165.7881692,105.5222022,169.6999969,163.5068189,103.1585076,160.5599976,164.0302449,103.1982345,166.1699982,52456400,27820800,210970800
21-04-23,162.973526,104.6879578,165.0800018,164.3857848,105.2739127,166,162.4500999,104.0622683,161.3200073,163.0031528,104.7475443,164.8000031,58337300,25800100,123539000
24-04-23,163.2797089,105.2441177,162.5500031,163.5463648,105.8995929,165.6499939,161.8575642,103.9828129,158.6100006,162.9537995,104.7674024,164.6499939,41949600,23542800,140006600
25-04-23,161.7390137,103.1386414,160.6699982,164.2475073,105.9591917,163.4700012,161.6995013,103.1287077,158.75,163.1414018,105.105082,159.8200073,48714100,46664100,121999300
26-04-23,161.729126,102.9996033,153.75,163.2302799,105.6215191,160.6699982,160.7810398,101.9269993,153.1399994,161.03781,104.2013141,160.2899933,45498800,53347600,153364100
27-04-23,166.3214874,106.853035,160.1900024,166.4696212,107.6276986,160.4799957,163.1414187,102.8307809,152.3699951,163.1414187,103.7345437,152.6399994,64902300,50089200,127015200
28-04-23,167.5757141,106.6047363,164.3099976,167.7436191,106.61467,165,165.7980488,104.3701484,157.3200073,166.4004845,106.3067958,160.8999939,55275900,36139800,122515800
01-05-23,167.4868622,106.4656906,161.8300018,168.3361977,107.2502801,163.2799988,166.5486464,106.0882963,158.8300018,167.180709,106.108156,163.1699982,52472900,26681700,109015000
02-05-23,166.4498596,104.5985718,160.3099976,168.2374257,106.4656913,165.4900055,165.462261,102.9995995,158.9299927,167.9806404,106.4061047,161.8800049,48425700,30997200,128259700
03-05-23,165.3733673,104.6879578,160.6100006,168.8003353,106.7537043,165,165.0869704,104.2410357,159.9100037,167.3979473,104.8071309,160.0099945,65136000,21795400,119728000
04-05-23,163.733963,103.9728851,161.1999969,164.9684612,104.8766478,162.9499969,162.2723213,103.2578159,159.6499939,162.8451303,104.7674007,162.7100067,81235400,23419500,95108500
